merged_obs_id,dam,date.time,obs_id,observation_source,source_obs_id,sensor,obs_domain,has_lake,has_outlet,paired,Tm_l,Tm_o,T_diff,Npixel_l,Npixel_o,Tmax_l,Tmax_o,Tmedian_l,Tmedian_o,Tmin_l,Tmin_o,Tsd_l,Tsd_o,resX_l,resX_o,resY_l,resY_o,s2_date_delta_hours_l,s2_date_delta_hours_o,s2_datetime_l,s2_datetime_o,s2_mask_path_l,s2_mask_path_o,s2_valid_fraction_l,s2_valid_fraction_o,s2_water_fraction_l,s2_water_fraction_o,xmax_l,xmax_o,xmin_l,xmin_o,ymax_l,ymax_o,ymin_l,ymin_o,Country,Dam_hgt,Install_capacityMW,Res_area_kmsq,Res_capaci_kmcube,River,operative_date,elevation,latitude,longitude,Pih,Pl,Pe,model,contacts,contacted,datetime_utc,year,month,doy,H_UTC,H_LOC,main_row_id,additional_row_id,n_any_time_matches,duplicate_any_time,duplicate_same_domain,duplicate_main_covers_additional,exact_time_match,min_time_diff_sec,best_main_row_id_any_time,best_main_row_id_same_domain,best_main_row_id_main_covers,dropped_by_duplicate_rule,ID_l,Latitude_l,Longitude_l,ECO2LSTE_001_SDS_LST_err_l,QC_bitmask_l,ID_o,Latitude_o,Longitude_o,ECO2LSTE_001_SDS_LST_err_o,QC_bitmask_o,Latitude_ref,Longitude_ref,LSTerr_l,LSTerr_o,filled_from_additional,filled_domain,filled_columns,fill_source_obs_id,original_obs_domain_before_fill,merge_action,n_main_rows_same_time,n_additional_rows_same_time,.row_id_source,.is_additional,dam_original,dam_key
1,Ambuclao,2019-12-17T09:00:01Z,1,main_s2mask,1,ECOSTRESS,paired,TRUE,TRUE,TRUE,25.36483765,23.65,-1.714837646,27,,27.33001708984375,,25.230010986328125,,24.01000977,,0.935447931,,70,,70,,,,,,/scratch/mr3882/SEA_dam/LST_processed/sentinel2_water_masks/Ambuclao/ECOSTRESS/Ambuclao_ECOv002_L2T_LSTE_08210_012_51QTU_20191217T090001_0712_01_LST_LST_s2_footprint_water_mask.tif,,,,,,259900,,258850,,1821620,,1820570,,Philippines,129,,7.5,258,,01/01/1956,618.0013428,16.45865654,120.7455543,,,,,,,2019-12-17T09:00:01Z,2019,12,351,9.000277777777777,17.049981397777778,1,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,,33,16.4575,120.744,1.36,0b1001111011000000,16.45865654,120.7455543,,1.36,TRUE,outlet,Tm_o;ID_o;Latitude_o;Longitude_o;ECO2LSTE_001_SDS_LST_err_o;QC_bitmask_o;LSTerr_o;Latitude_ref;Longitude_ref,8899,lake_only,kept_main_filled_outlet_from_additional,1,1,,,Ambuclao,ambuclao
2,Ambuclao,2020-01-05T15:06:45Z,2,main_s2mask,2,ECOSTRESS,paired,TRUE,TRUE,TRUE,18.02999878,17.51,-0.519998779,26,,18.610015869140625,,18.050018310546875,,17.57000732421875,,0.224357128,,70,,70,,,,,,/scratch/mr3882/SEA_dam/LST_processed/sentinel2_water_masks/Ambuclao/ECOSTRESS/Ambuclao_ECOv002_L2T_LSTE_08509_003_50QRD_20200105T150645_0712_01_LST_LST_s2_footprint_water_mask.tif,,,,,,900640,,899590,,1824000,,1822880,,Philippines,129,,7.5,258,,01/01/1956,618.0013428,16.45865654,120.7455543,,,,,,,2020-01-05T15:06:45Z,2020,1,5,15.1125,23.16220362,2,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,,33,16.4575,120.744,1.24,0b1001111011000000,16.45865654,120.7455543,,1.24,TRUE,outlet,Tm_o;ID_o;Latitude_o;Longitude_o;ECO2LSTE_001_SDS_LST_err_o;QC_bitmask_o;LSTerr_o;Latitude_ref;Longitude_ref,8900,lake_only,kept_main_filled_outlet_from_additional,1,1,,,Ambuclao,ambuclao
3,Ambuclao,2020-01-09T23:24:50Z,3,main_s2mask,3,ECOSTRESS,paired,TRUE,TRUE,TRUE,17.02133179,16.39,-0.631331787,23,,19.69000244140625,,16.80999755859375,,15.990020751953123,,0.852968514,,70,,70,,,,,,/scratch/mr3882/SEA_dam/LST_processed/sentinel2_water_masks/Ambuclao/ECOSTRESS/Ambuclao_ECOv002_L2T_LSTE_08576_008_50QRD_20200109T232450_0712_01_LST_LST_s2_footprint_water_mask.tif,,,,,,900640,,899590,,1824000,,1822880,,Philippines,129,,7.5,258,,01/01/1956,618.0013428,16.45865654,120.7455543,,,,,,,2020-01-09T23:24:50Z,2020,1,9,23.413888888888888,7.463592508888887,3,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,,33,16.4575,120.744,1.28,0b1001111011000000,16.45865654,120.7455543,,1.28,TRUE,outlet,Tm_o;ID_o;Latitude_o;Longitude_o;ECO2LSTE_001_SDS_LST_err_o;QC_bitmask_o;LSTerr_o;Latitude_ref;Longitude_ref,8901,lake_only,kept_main_filled_outlet_from_additional,1,1,,,Ambuclao,ambuclao
4,Ambuclao,2020-02-02T04:05:44Z,8902,additional_ecostress,4,ECOSTRESS,paired,TRUE,TRUE,TRUE,28.55,30.05,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,129,,7.5,258,,01/01/1956,618.0013428,16.45865654,120.7455543,,,,,,,2020-02-02T04:05:44Z,2020,2,33,4.095555555555555,12.145259175555555,,4,1,TRUE,FALSE,FALSE,FALSE,1,4,,,FALSE,33,16.4622,120.7447,1.2,0b1001101011000000,33,16.4575,120.744,1.2,0b1001101011000000,16.45865654,120.7455543,1.2,1.2,FALSE,none,,,paired,kept_unique_additional,0,1,additional_ecostress__4,TRUE,Ambuclao,ambuclao
5,Ambuclao,2020-02-02T04:05:45Z,4,main_s2mask,4,ECOSTRESS,lake_only,TRUE,FALSE,FALSE,25.22262573,,,27,,30.290008544921875,,24.709991455078125,,22.39001465,,1.936039448,,70,,70,,,,,,/scratch/mr3882/SEA_dam/LST_processed/sentinel2_water_masks/Ambuclao/ECOSTRESS/Ambuclao_ECOv002_L2T_LSTE_08936_003_51QTU_20200202T040545_0712_01_LST_LST_s2_footprint_water_mask.tif,,,,,,259900,,258850,,1821620,,1820570,,Philippines,129,,7.5,258,,01/01/1956,618.0013428,16.45865654,120.7455543,,,,,,,2020-02-02T04:05:45Z,2020,2,33,4.095833333333333,12.145536953333332,4,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,16.45865654,120.7455543,,,FALSE,none,,,lake_only,kept_unique_main,1,0,,,Ambuclao,ambuclao
6,Ambuclao,2020-02-13T23:25:06Z,8903,additional_ecostress,5,ECOSTRESS,paired,TRUE,TRUE,TRUE,19.31,18.11,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,129,,7.5,258,,01/01/1956,618.0013428,16.45865654,120.7455543,,,,,,,2020-02-13T23:25:06Z,2020,2,44,23.418333333333333,7.468036953333332,,5,1,TRUE,FALSE,FALSE,FALSE,1,5,,,FALSE,33,16.4622,120.7447,1.16,0b1001111011000000,33,16.4575,120.744,1.16,0b1001101011000000,16.45865654,120.7455543,1.16,1.16,FALSE,none,,,paired,kept_unique_additional,0,1,additional_ecostress__5,TRUE,Ambuclao,ambuclao
7,Ambuclao,2020-02-13T23:25:07Z,5,main_s2mask,5,ECOSTRESS,lake_only,TRUE,FALSE,FALSE,17.25942993,,,17,,17.910003662109375,,17.42999267578125,,16.490020751953125,,0.517059982,,70,,70,,,,,,/scratch/mr3882/SEA_dam/LST_processed/sentinel2_water_masks/Ambuclao/ECOSTRESS/Ambuclao_ECOv002_L2T_LSTE_09119_003_50QRD_20200213T232507_0712_01_LST_LST_s2_footprint_water_mask.tif,,,,,,900640,,899590,,1824000,,1822880,,Philippines,129,,7.5,258,,01/01/1956,618.0013428,16.45865654,120.7455543,,,,,,,2020-02-13T23:25:07Z,2020,2,44,23.41861111111111,7.468314731111111,5,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,16.45865654,120.7455543,,,FALSE,none,,,lake_only,kept_unique_main,1,0,,,Ambuclao,ambuclao
8,Ambuclao,2020-02-21T06:58:15Z,6,main_s2mask,6,ECOSTRESS,lake_only,TRUE,FALSE,FALSE,33.45541382,,,26,,36.149993896484375,,33.440032958984375,,30.41000366210937,,1.40169847,,70,,70,,,,,,/scratch/mr3882/SEA_dam/LST_processed/sentinel2_water_masks/Ambuclao/ECOSTRESS/Ambuclao_ECOv002_L2T_LSTE_09232_010_51QTU_20200221T065815_0712_01_LST_LST_s2_footprint_water_mask.tif,,,,,,259900,,258850,,1821620,,1820570,,Philippines,129,,7.5,258,,01/01/1956,618.0013428,16.45865654,120.7455543,,,,,,,2020-02-21T06:58:15Z,2020,2,52,6.970833333333333,15.020536953333332,6,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,16.45865654,120.7455543,,,FALSE,none,,,lake_only,kept_unique_main,1,0,,,Ambuclao,ambuclao
9,Ambuclao,2020-02-21T20:17:37Z,8904,additional_ecostress,7,ECOSTRESS,paired,TRUE,TRUE,TRUE,13.51,12.79,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,129,,7.5,258,,01/01/1956,618.0013428,16.45865654,120.7455543,,,,,,,2020-02-21T20:17:37Z,2020,2,52,20.29361111111111,4.343314731111111,,7,1,TRUE,FALSE,FALSE,FALSE,1,7,,,FALSE,33,16.4622,120.7447,0.84,0b1110111011000000,33,16.4575,120.744,0.84,0b1110111011000000,16.45865654,120.7455543,0.84,0.84,FALSE,none,,,paired,kept_unique_additional,0,1,additional_ecostress__7,TRUE,Ambuclao,ambuclao
10,Ambuclao,2020-02-21T20:17:38Z,7,main_s2mask,7,ECOSTRESS,lake_only,TRUE,FALSE,FALSE,14.84231567,,,26,,15.75,,14.83001708984375,,14.33001708984375,,0.325700432,,70,,70,,,,,,/scratch/mr3882/SEA_dam/LST_processed/sentinel2_water_masks/Ambuclao/ECOSTRESS/Ambuclao_ECOv002_L2T_LSTE_09241_006_51QTU_20200221T201738_0712_01_LST_LST_s2_footprint_water_mask.tif,,,,,,259900,,258850,,1821620,,1820570,,Philippines,129,,7.5,258,,01/01/1956,618.0013428,16.45865654,120.7455543,,,,,,,2020-02-21T20:17:38Z,2020,2,52,20.29388888888889,4.343592508888889,7,,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,16.45865654,120.7455543,,,FALSE,none,,,lake_only,kept_unique_main,1,0,,,Ambuclao,ambuclao
